Country,Number of activities implemented,Schools holding events,Children reached,Teachers trained
Poland,0,1,200,0
Tanzania,4,10,10000,50
Vietnam,5,2,265,0
Morrocco,7,43,5000,59
Algeria,10,1,10,6
Colombia,20,5,200,0
Timor-Leste,10,4,3000,30
Phillipines,5,20,500,100
Ireland,0,0,1876,67
Netherlands,10,2,6520,139
Germany,11,0,6009,130
Spain,6,0,7600,152
Italy,5,0,2400,134
South Africa,15,0,7202,272
UK,6,0,9000,104
Venezula,35,189,41920,1048
Japan,15,2,180,35
Iceland,3,0,67,27
Romania,8,7,1832,0
Bangladesh,4,3,3000,0
Portugal,20,12,600,27
Mozambique,2,0,100,0
Uruguay,5,0,670,0
Sri Lanka,22,18,8000,0
Bulgria,6,0,52,20
Brazil,5,0,1380,90
Canada,3,0,3400,0
Nigeria,34,34,508,78
Indonesia,NA,NA,3000,300
,,,,
,,,,
,,,,
,,,,
,,,,
Total,276,353,124491,2868
