# ----------------------------------------
# www.unawe.org
# Audience Overview
# 20120101-20121231
# ----------------------------------------

Day,Visits
1/1/12,38
1/2/12,78
1/3/12,115
1/4/12,132
1/5/12,77
1/6/12,122
1/7/12,69
1/8/12,67
1/9/12,183
1/10/12,157
1/11/12,219
1/12/12,194
1/13/12,230
1/14/12,105
1/15/12,108
1/16/12,198
1/17/12,148
1/18/12,108
1/19/12,195
1/20/12,113
1/21/12,61
1/22/12,72
1/23/12,180
1/24/12,327
1/25/12,343
1/26/12,270
1/27/12,158
1/28/12,71
1/29/12,81
1/30/12,157
1/31/12,487
2/1/12,292
2/2/12,313
2/3/12,234
2/4/12,95
2/5/12,139
2/6/12,239
2/7/12,242
2/8/12,318
2/9/12,324
2/10/12,460
2/11/12,197
2/12/12,180
2/13/12,292
2/14/12,285
2/15/12,238
2/16/12,197
2/17/12,170
2/18/12,107
2/19/12,112
2/20/12,215
2/21/12,223
2/22/12,206
2/23/12,171
2/24/12,185
2/25/12,107
2/26/12,124
2/27/12,258
2/28/12,214
2/29/12,219
3/1/12,289
3/2/12,278
3/3/12,185
3/4/12,156
3/5/12,213
3/6/12,164
3/7/12,193
3/8/12,182
3/9/12,152
3/10/12,122
3/11/12,97
3/12/12,153
3/13/12,224
3/14/12,201
3/15/12,165
3/16/12,196
3/17/12,150
3/18/12,107
3/19/12,206
3/20/12,143
3/21/12,299
3/22/12,312
3/23/12,176
3/24/12,113
3/25/12,146
3/26/12,319
3/27/12,284
3/28/12,418
3/29/12,282
3/30/12,231
3/31/12,129
4/1/12,134
4/2/12,280
4/3/12,286
4/4/12,260
4/5/12,231
4/6/12,128
4/7/12,92
4/8/12,113
4/9/12,144
4/10/12,202
4/11/12,163
4/12/12,217
4/13/12,174
4/14/12,86
4/15/12,107
4/16/12,172
4/17/12,218
4/18/12,307
4/19/12,242
4/20/12,189
4/21/12,141
4/22/12,137
4/23/12,288
4/24/12,222
4/25/12,260
4/26/12,247
4/27/12,198
4/28/12,91
4/29/12,98
4/30/12,176
5/1/12,229
5/2/12,271
5/3/12,193
5/4/12,188
5/5/12,110
5/6/12,111
5/7/12,189
5/8/12,216
5/9/12,257
5/10/12,232
5/11/12,181
5/12/12,134
5/13/12,118
5/14/12,203
5/15/12,258
5/16/12,249
5/17/12,188
5/18/12,151
5/19/12,108
5/20/12,91
5/21/12,438
5/22/12,258
5/23/12,312
5/24/12,253
5/25/12,170
5/26/12,123
5/27/12,122
5/28/12,154
5/29/12,225
5/30/12,228
5/31/12,299
6/1/12,290
6/2/12,201
6/3/12,240
6/4/12,435
6/5/12,572
6/6/12,882
6/7/12,398
6/8/12,309
6/9/12,151
6/10/12,123
6/11/12,170
6/12/12,158
6/13/12,165
6/14/12,181
6/15/12,118
6/16/12,83
6/17/12,89
6/18/12,151
6/19/12,187
6/20/12,197
6/21/12,180
6/22/12,104
6/23/12,103
6/24/12,76
6/25/12,140
6/26/12,134
6/27/12,117
6/28/12,151
6/29/12,127
6/30/12,105
7/1/12,70
7/2/12,124
7/3/12,145
7/4/12,165
7/5/12,157
7/6/12,136
7/7/12,94
7/8/12,73
7/9/12,154
7/10/12,141
7/11/12,195
7/12/12,122
7/13/12,109
7/14/12,88
7/15/12,144
7/16/12,151
7/17/12,166
7/18/12,154
7/19/12,121
7/20/12,179
7/21/12,142
7/22/12,115
7/23/12,177
7/24/12,233
7/25/12,186
7/26/12,165
7/27/12,244
7/28/12,106
7/29/12,88
7/30/12,142
7/31/12,178
8/1/12,160
8/2/12,123
8/3/12,113
8/4/12,76
8/5/12,99
8/6/12,202
8/7/12,164
8/8/12,201
8/9/12,233
8/10/12,173
8/11/12,116
8/12/12,86
8/13/12,170
8/14/12,154
8/15/12,171
8/16/12,156
8/17/12,118
8/18/12,83
8/19/12,82
8/20/12,113
8/21/12,153
8/22/12,158
8/23/12,113
8/24/12,109
8/25/12,74
8/26/12,92
8/27/12,129
8/28/12,136
8/29/12,159
8/30/12,130
8/31/12,131
9/1/12,74
9/2/12,79
9/3/12,121
9/4/12,249
9/5/12,140
9/6/12,238
9/7/12,156
9/8/12,119
9/9/12,114
9/10/12,157
9/11/12,200
9/12/12,265
9/13/12,217
9/14/12,271
9/15/12,122
9/16/12,130
9/17/12,177
9/18/12,160
9/19/12,178
9/20/12,184
9/21/12,169
9/22/12,119
9/23/12,145
9/24/12,206
9/25/12,194
9/26/12,261
9/27/12,227
9/28/12,169
9/29/12,122
9/30/12,151
10/1/12,216
10/2/12,255
10/3/12,212
10/4/12,197
10/5/12,203
10/6/12,109
10/7/12,142
10/8/12,203
10/9/12,219
10/10/12,311
10/11/12,300
10/12/12,149
10/13/12,91
10/14/12,131
10/15/12,175
10/16/12,178
10/17/12,461
10/18/12,271
10/19/12,226
10/20/12,117
10/21/12,126
10/22/12,226
10/23/12,206
10/24/12,252
10/25/12,180
10/26/12,171
10/27/12,134
10/28/12,127
10/29/12,197
10/30/12,245
10/31/12,309
11/1/12,223
11/2/12,172
11/3/12,106
11/4/12,137
11/5/12,174
11/6/12,350
11/7/12,422
11/8/12,286
11/9/12,217
11/10/12,133
11/11/12,107
11/12/12,194
11/13/12,198
11/14/12,276
11/15/12,257
11/16/12,235
11/17/12,125
11/18/12,144
11/19/12,286
11/20/12,264
11/21/12,252
11/22/12,265
11/23/12,177
11/24/12,105
11/25/12,211
11/26/12,180
11/27/12,243
11/28/12,440
11/29/12,396
11/30/12,273
12/1/12,153
12/2/12,269
12/3/12,229
12/4/12,257
12/5/12,298
12/6/12,444
12/7/12,233
12/8/12,164
12/9/12,200
12/10/12,262
12/11/12,250
12/12/12,267
12/13/12,303
12/14/12,231
12/15/12,133
12/16/12,207
12/17/12,327
12/18/12,308
12/19/12,298
12/20/12,254
12/21/12,321
12/22/12,241
12/23/12,264
12/24/12,253
12/25/12,133
12/26/12,179
12/27/12,167
12/28/12,169
12/29/12,150
12/30/12,140
12/31/12,137
,"70,086"

